,society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
25,Chintels Paradiso,1.8,8866,3,3,2,0.0,East,flat,sector 109,2552.5499999999997,1785.0,0,0,1,0,0,old property,60,1,25,595.0
26,Ashiana Mulberry,0.74,6200,2,2,3+,12.0,North-West,flat,sohna,1730.3,1210.0,1,0,0,0,0,New Property,61,1,25,605.0
27,Mapsko Casa Bella,1.3,6378,4,4,3+,1.0,North,flat,sector 82,1961.9599999999998,1372.0,0,0,1,0,0,relatively new,111,1,33,343.0
28,Pooja Apartment,0.25,3571,2,2,2,2.0,East,flat,sector 5,1001.0,700.0,1,0,0,0,0,relatively new,0,1,43,350.0
29,Signature Global Park,0.95,7846,3,2,3+,1.0,,flat,sohna,1081.08,756.0,1,0,0,0,0,relatively new,45,1,42,252.0
30,DLF New Town Heights 1,1.99,7297,4,4,3+,9.0,East,flat,sector 90,3899.6099999999997,2727.0,0,0,1,1,0,relatively new,88,2,25,681.75
31,Paras Dews,1.05,7581,2,2,2,5.0,West,flat,sector 106,1980.55,1385.0,1,0,0,0,0,New Property,89,1,52,692.5
32,Godrej Air,1.83,10005,3,3,3+,18.0,,flat,sector 85,2615.47,1829.0,1,0,0,0,0,relatively new,92,1,41,609.6666666666666
33,DLF The Primus,2.25,10714,3,3,3+,29.0,East,flat,sector 82a,3003.0,2100.0,0,0,1,0,0,relatively new,62,0,23,700.0
34,DLF Regency Park 1,1.6,14545,2,2,2,3.0,North,flat,sector 28,1573.0,1100.0,1,0,0,0,0,relatively new,59,1,33,550.0
35,Supertech Araville,0.83,5424,2,2,3,5.0,North-East,flat,sector 79,2187.9,1530.0,0,1,0,0,0,New Property,28,0,5,765.0
36,Maxworth City Residences,0.8,6400,2,3,2,9.0,,flat,sector 10a,1787.5,1250.0,1,0,0,0,0,New Property,40,1,14,625.0
37,Deepak Minda,1.25,4715,4,4,3+,6.0,,flat,manesar,3790.93,2651.0,1,0,0,0,0,old property,27,1,14,662.75
38,Shree Shyam residency,0.23,5000,1,1,1,2.0,South,flat,sector 21,657.8,460.0,1,0,0,0,0,relatively new,7,1,34,460.0
39,Pivotal Devaan,0.3,6666,1,1,1,14.0,,flat,sector 84,643.5,450.0,1,0,0,0,0,New Property,12,2,36,450.0
40,CHD Avenue 71,0.79,6594,2,2,2,8.0,South-East,flat,sector 71,1199.1979999999999,838.5999999999999,0,0,0,0,1,relatively new,0,1,30,419.29999999999995
41,Sare Crescent Parc Royal Greens Phase 1,0.95,5007,4,5,3+,4.0,,flat,sector 92,1898.8969999999997,1327.8999999999999,0,0,1,0,0,old property,23,1,5,331.97499999999997
42,Umang Winter Hills,0.99,7857,2,2,2,1.0,North,flat,sector 77,1430.0,1000.0,1,0,0,0,0,relatively new,72,1,49,500.0
43,Ramprastha Skyz,1.1,6376,3,3,3+,7.0,East,flat,sector 37d,1726.725,1207.5,1,0,0,0,0,relatively new,105,1,21,402.5
44,4S Aradhya Homes,1.9,8863,4,4,3,3.0,,flat,sector 67a,2202.2,1540.0,1,0,0,0,0,New Property,46,2,42,385.0
45,BPTP Freedom Park Life,2.5,11111,3,3,3,9.0,,flat,sector 57,2252.25,1575.0,1,0,0,0,0,old property,0,1,9,525.0
46,Godrej Habitat,1.1,10410,2,2,2,14.0,,flat,sector 3,1057.0559999999998,739.1999999999999,1,0,0,0,0,relatively new,0,1,52,369.59999999999997
47,Ramsons Kshitij,0.29,5178,2,2,2,14.0,,flat,sector 95,560.56,392.0,1,0,0,0,0,relatively new,46,1,0,196.0
48,Raheja Sampada,0.65,4744,3,2,3,6.0,North-East,flat,sector 92,1371.37,958.9999999999999,1,0,0,0,0,relatively new,28,1,27,319.66666666666663
49,Signature The Serenas,0.5,9406,2,2,2,6.0,,flat,sohna,759.3299999999999,531.0,1,0,0,0,0,New Property,23,1,34,265.5
50,Pareena Laxmi Apartments,0.32,5521,2,2,1,2.0,,flat,sector 99a,815.0999999999999,570.0,1,0,0,0,0,New Property,44,1,39,285.0
51,Satya The Hermitage,0.93,6404,2,3,3,3.0,East,flat,sector 103,2076.36,1452.0,0,0,1,0,0,relatively new,79,2,50,726.0
52,Smart World Gems,1.2,8432,3,3,2,2.0,North-East,flat,sector 89,2034.8899999999999,1423.0,1,0,0,0,0,New Property,27,1,52,474.3333333333333
53,GLS Arawali Homes,0.3,4687,2,2,2,4.0,,flat,sohna,915.1999999999999,640.0,1,0,0,0,0,relatively new,43,1,7,320.0
54,Signature Global Park,0.56,6812,2,2,3,3.0,South,flat,sohna,1175.46,822.0,1,0,0,0,0,New Property,87,1,42,411.0
55,Bestech Park View City 2,2.7,12505,3,4,3+,6.0,,flat,sector 49,2161.1589999999997,1511.3,1,0,0,0,0,old property,0,1,52,503.76666666666665
