,society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
379,Shapoorji Pallonji Joyville Gurugram,1.95,17285,3,3,3,12.0,North-East,flat,sector 102,1613.04,1128.0,0,0,0,0,0,New Property,65,1,34,376.0
380,Bestech Park View Grand Spa,2.35,8834,3,4,3+,6.0,North-East,flat,sector 81,3369.08,2356.0,0,0,1,0,0,relatively new,95,2,42,785.3333333333334
381,DLF New Town Heights 1,1.54,6514,4,4,3+,12.0,South-West,flat,sector 90,2645.5,1850.0,0,0,1,1,0,old property,99,2,25,462.5
382,DLF New Town Heights 2,1.27,6580,3,4,3,19.0,South-West,flat,sector 86,2073.5,1450.0,0,0,1,1,0,relatively new,101,1,31,483.3333333333333
383,DLF Regal Gardens,1.17,6708,3,3,3,15.0,North,flat,sector 90,1844.6999999999998,1290.0,1,0,0,0,0,relatively new,116,2,24,430.0
384,Conscient Heritage Max,2.22,13875,3,4,3+,15.0,East,flat,sector 102,2288.0,1600.0,0,1,1,0,0,relatively new,70,1,50,533.3333333333334
385,DLF Regency Park 1,1.24,12400,2,2,3+,19.0,South,flat,sector 28,1430.0,1000.0,0,0,0,1,0,old property,131,2,33,500.0
386,Godrej 101,1.12,7146,2,2,3,6.0,North-East,flat,sector 79,1716.0,1200.0,0,1,0,0,0,relatively new,28,1,16,600.0
387,Adani M2K Oyster Grande,1.9,14074,3,4,3,21.0,,flat,sector 102,1930.5,1350.0,0,0,1,0,0,relatively new,60,1,42,450.0
388,DLF Regency Park 1,1.35,11739,2,2,2,14.0,East,flat,sector 28,1501.5,1050.0,0,0,0,0,0,,62,1,33,525.0
389,Alpha Corp GurgaonOne 84,2.24,6523,4,4,3,12.0,West,flat,sector 84,4147.0,2900.0,0,0,1,0,0,relatively new,14,1,41,725.0
390,Godrej Icon,1.31,8100,2,2,3+,3.0,North-West,flat,sector 88a,1618.6169999999997,1131.8999999999999,0,1,0,0,0,relatively new,85,1,36,565.9499999999999
391,Emaar MGF Emerald Estate,1.7,21013,3,3,3,7.0,South-East,flat,sector 65,1156.87,809.0,0,1,0,0,0,relatively new,98,2,44,269.6666666666667
392,Vatika Gurgaon 21,1.19,7437,3,3,2,10.0,South,flat,sector 83,2288.0,1600.0,0,0,1,0,0,relatively new,21,2,42,533.3333333333334
393,Green Campus CHS,0.92,4022,3,3,3+,8.0,East,flat,manesar,2288.0,1600.0,0,0,1,0,0,old property,1,1,14,533.3333333333334
394,Green Campus CHS,0.9,3935,3,3,3+,6.0,North-East,flat,manesar,2289.287,1600.8999999999999,0,0,1,0,0,old property,4,1,14,533.6333333333333
395,Puri Emerald Bay,2.3,9387,3,4,3+,10.0,North-East,flat,sector 104,2452.45,1715.0,0,0,1,0,0,old property,86,1,59,571.6666666666666
396,Puri Emerald Bay,1.58,9117,2,3,3,11.0,North-East,flat,sector 104,1701.6999999999998,1190.0,0,0,1,0,0,relatively new,86,1,59,595.0
397,Indiabulls Enigma,4.25,10953,5,5,3+,4.0,East,flat,sector 110,3883.8799999999997,2716.0,0,0,1,0,0,relatively new,89,1,51,543.2
398,Ireo Victory Valley,4.55,14536,4,4,3+,19.0,South,flat,sector 67,3133.1299999999997,2191.0,0,0,1,0,0,relatively new,130,2,42,547.75
399,Bestech Park View Spa Next,2.85,12127,4,4,3+,5.0,South,flat,sector 67,2352.35,1645.0,0,0,1,1,0,old property,128,2,42,411.25
400,DLF The Ultima,2.3,10994,3,4,3+,6.0,East,flat,sector 81,2094.0919999999996,1464.3999999999999,0,0,1,0,0,New Property,139,0,42,488.13333333333327
401,Tulip Ivory,2.0,8333,4,5,3+,7.0,North-East,flat,sector 70,2788.5,1950.0,0,0,1,0,0,old property,144,2,42,487.5
402,Ireo Skyon,3.75,13392,4,4,3,12.0,North,flat,sector 60,3360.5,2350.0,0,0,1,0,0,relatively new,28,2,43,587.5
403,Ambience Creacions,6.16,20533,4,5,3+,10.0,South-East,flat,sector 22,4290.0,3000.0,0,0,1,1,0,New Property,28,2,49,750.0
404,M3M Golfestate,5.3,24211,3,3,3,38.0,North-East,flat,sector 65,3130.27,2189.0,0,0,1,0,0,old property,28,2,51,729.6666666666666
405,City Heights,1.75,8750,3,4,3,3.0,,flat,sector 39,2860.0,2000.0,0,0,1,0,0,,24,0,46,666.6666666666666
406,KW Royal Court,2.0,6250,5,4,3,9.0,East,flat,sector 39,4576.0,3200.0,0,0,1,0,0,,28,0,38,640.0
407,GLS Avenue 51,0.21,6953,1,1,1,0.0,South-East,flat,sector 92,431.85999999999996,302.0,1,0,0,0,0,relatively new,63,1,9,302.0
408,Kamroon Court,2.75,13750,3,4,3+,5.0,North-East,flat,sector 43,2860.0,2000.0,0,0,1,0,1,old property,28,2,42,666.6666666666666
409,Tata Primanti,4.1,13725,3,3,3,8.0,,flat,sector 72,2552.5499999999997,1785.0,0,0,1,0,0,old property,48,1,36,595.0
410,CHD Avenue 71,1.12,6215,3,4,3,0.0,South-East,flat,sector 71,1803.8019999999997,1261.3999999999999,0,0,1,0,0,old property,60,1,30,420.46666666666664
411,Krrish Provence Estate,7.5,7500,5,6,3+,23.0,North-East,flat,gwal pahari,10010.0,7000.0,0,0,1,1,1,relatively new,28,1,24,1400.0
412,DLF The Crest,11.0,24814,4,5,3+,7.0,North-East,flat,sector 54,4433.0,3100.0,0,1,1,1,0,relatively new,28,1,51,775.0
413,DLF Regal Gardens,1.26,7403,3,3,3,6.0,North-East,flat,sector 90,2145.0,1500.0,0,0,0,0,1,relatively new,19,2,24,500.0
414,DLF Regal Gardens,1.8,7223,4,4,3+,7.0,South-West,flat,sector 90,2217.2149999999997,1550.5,1,0,0,0,0,old property,43,1,24,387.625
415,Emaar Palm Gardens,1.48,7789,3,3,3,7.0,East,flat,sector 83,1773.1999999999998,1240.0,0,0,1,0,0,relatively new,58,1,41,413.3333333333333
416,Experion The Heartsong,0.98,13343,2,3,3,4.0,East,flat,sector 108,1049.62,734.0,0,1,0,0,0,relatively new,99,1,42,367.0
417,Orris Aster Court Premier,1.5,5859,4,5,3+,6.0,West,flat,sector 85,2574.0,1800.0,0,0,1,0,0,New Property,18,2,44,450.0
418,Orris Aster Court Premier,1.49,5820,4,5,3+,10.0,East,flat,sector 85,2702.7,1890.0,0,0,1,0,0,relatively new,69,2,44,472.5
419,Orris Aster Court Premier,1.2,5660,3,4,2,6.0,North-East,flat,sector 85,2216.5,1550.0,0,0,1,0,0,relatively new,18,1,44,516.6666666666666
420,Shree Vardhman Flora,0.86,6254,3,4,3,0.0,North,flat,sector 90,1966.25,1375.0,0,0,1,0,0,relatively new,69,2,49,458.3333333333333
421,Orris Carnation Residency,0.9,4531,4,4,3,8.0,East,flat,sector 85,2052.0499999999997,1435.0,1,0,0,0,0,old property,23,2,35,358.75
422,Saan Verdante,2.0,10178,3,4,3+,5.0,North,flat,sector 95,2767.0499999999997,1935.0,0,0,1,0,0,New Property,28,1,17,645.0
423,Vatika City Homes,0.8,6060,2,2,2,8.0,East,flat,sector 83,1321.3199999999997,923.9999999999999,0,0,0,0,0,old property,31,1,32,461.99999999999994
424,Pioneer Urban Presidia,6.5,14987,4,4,3+,3.0,West,flat,sector 62,4341.3369999999995,3035.8999999999996,0,1,0,0,0,old property,79,1,42,758.9749999999999
425,Paras Dews,1.17,6647,3,4,3+,12.0,West,flat,sector 106,1615.8999999999999,1130.0,0,0,1,0,0,relatively new,28,1,52,376.6666666666667
426,Paras Dews,1.15,6052,3,4,3,5.0,North-West,flat,sector 106,1677.3899999999999,1173.0,0,1,1,0,0,relatively new,28,1,52,391.0
427,Shri Banke Bihari Society,1.35,9642,3,3,3+,4.0,,flat,sector 56,2002.0,1400.0,0,0,0,0,1,,141,2,50,466.6666666666667
428,ATS Kocoon,2.15,10262,3,4,3,9.0,North,flat,sector 109,2097.095,1466.5,0,0,1,0,0,relatively new,89,1,30,488.8333333333333
429,Shapoorji Pallonji Joyville Gurugram,1.76,10224,3,3,3,1.0,North-East,flat,sector 102,1693.6919999999998,1184.3999999999999,1,0,0,0,0,relatively new,86,1,34,394.79999999999995
430,Puri Diplomatic Greens,3.45,11694,4,5,3+,10.0,North,flat,sector 111,2952.95,2065.0,0,0,1,0,0,relatively new,86,1,44,516.25
431,Indiabulls Enigma,3.3,9850,4,5,3,7.0,East,flat,sector 110,3353.35,2345.0,0,0,1,0,0,relatively new,89,1,51,586.25
432,ATS Triumph,1.75,7641,3,4,3+,11.0,South-East,flat,sector 104,2292.29,1603.0,0,0,1,0,0,relatively new,94,1,52,534.3333333333334
433,ATS Triumph,2.78,8825,4,4,3+,11.0,South,flat,sector 104,3153.1499999999996,2205.0,0,0,1,0,0,relatively new,94,1,52,551.25
434,Shapoorji Pallonji Joyville Gurugram,2.4,10545,4,4,3+,15.0,North-East,flat,sector 102,2164.162,1513.3999999999999,1,0,0,0,0,relatively new,94,1,34,378.34999999999997
435,Experion The Heartsong,2.28,8204,4,5,3+,8.0,North,flat,sector 108,2781.779,1945.3,1,0,0,0,0,relatively new,89,1,42,486.325
436,Sobha City,1.9,13758,2,2,2,8.0,East,flat,sector 108,1382.3809999999999,966.6999999999999,1,0,0,0,0,relatively new,85,1,33,483.34999999999997
437,Sobha City,3.25,15685,3,3,3,12.0,North,flat,sector 108,2074.0719999999997,1450.3999999999999,1,0,0,0,0,relatively new,89,1,33,483.46666666666664
438,SBTL Caladium,1.6,6286,3,3,3,9.0,North,flat,sector 109,2547.545,1781.5,0,0,1,0,0,relatively new,64,1,16,593.8333333333334
439,ATS Triumph,4.45,6846,4,5,3+,27.0,North,flat,sector 104,9295.0,6500.0,1,0,0,0,0,relatively new,91,1,52,1625.0
440,M3M Woodshire,0.82,6002,2,2,3+,7.0,North-East,flat,sector 107,1367.3659999999998,956.1999999999999,1,0,0,0,0,relatively new,96,1,16,478.09999999999997
441,Signature Global Solera,0.5,7751,3,2,2,6.0,South-East,flat,sector 107,922.3499999999999,645.0,0,0,0,0,1,relatively new,11,1,33,215.0
442,Signature Global Solera,0.52,8062,3,2,2,5.0,East,flat,sector 107,922.3499999999999,645.0,0,0,0,0,1,relatively new,11,1,33,215.0
443,Signature Global Solera,0.28,5725,2,2,2,6.0,West,flat,sector 107,699.27,489.0,1,0,0,0,0,relatively new,36,1,33,244.5
444,Signature Global Solera,0.29,5930,2,2,2,3.0,East,flat,sector 107,699.27,489.0,1,0,0,0,0,relatively new,36,1,33,244.5
445,Experion The Heartsong,0.97,9238,2,2,3,10.0,North-East,flat,sector 108,1501.5,1050.0,0,0,1,0,0,relatively new,131,1,42,525.0
446,M3M Woodshire,0.8,5856,2,2,3+,7.0,North-East,flat,sector 107,1367.3659999999998,956.1999999999999,1,0,0,0,0,relatively new,133,2,16,478.09999999999997
447,Emaar Gurgaon Greens,1.45,14179,3,3,3,10.0,North-East,flat,sector 102,1461.46,1022.0,0,0,1,0,0,relatively new,133,1,42,340.6666666666667
448,Ireo The Corridors,1.4,9433,2,2,2,8.0,North,flat,sector 67a,1229.8,860.0,0,1,0,0,1,relatively new,65,1,43,430.0
449,Tulip Violet,1.42,8998,3,3,2,8.0,East,flat,sector 69,1579.5779999999997,1104.6,0,0,0,1,0,relatively new,64,2,42,368.2
450,Experion Windchants,2.6,10651,2,2,3,8.0,North-East,flat,sector 112,2443.441,1708.6999999999998,1,0,0,0,0,relatively new,138,1,40,854.3499999999999
451,M3M Woodshire,1.3,8922,3,3,3+,4.0,West,flat,sector 107,2083.5099999999998,1457.0,0,0,0,1,0,relatively new,141,2,16,485.6666666666667
452,Satya The Hermitage,1.0,6655,3,4,3+,2.0,North-East,flat,sector 103,2137.85,1495.0,0,0,1,1,0,relatively new,141,1,50,498.3333333333333
453,Conscient Heritage Max,2.2,10237,3,4,3+,20.0,East,flat,sector 102,1615.8999999999999,1130.0,0,1,1,0,0,relatively new,54,2,50,376.6666666666667
454,Denso Haryana Housing Society,0.9,4308,3,3,3+,5.0,East,flat,manesar,2987.27,2089.0,0,0,1,0,0,old property,10,1,14,696.3333333333334
455,The Nav Manesar Apartment,0.85,3953,3,3,3+,5.0,North-East,flat,sector 1,2152.15,1505.0,0,0,1,0,0,old property,4,1,61,501.6666666666667
456,Umang Winter Hills,1.05,5762,3,3,3,7.0,East,flat,sector 77,2002.0,1400.0,1,0,0,0,0,relatively new,28,1,49,466.6666666666667
457,SS The Leaf,1.65,6852,3,4,3,9.0,,flat,sector 85,2410.408,1685.6,0,0,0,1,0,New Property,15,1,42,561.8666666666667
458,Alpha Corp GurgaonOne 84,1.5,7641,3,3,3,20.0,North-West,flat,sector 84,2431.0,1700.0,0,0,1,0,0,relatively new,24,2,41,566.6666666666666
459,M3M Merlin,3.4,14418,3,4,3+,16.0,West,flat,sector 67,2360.3579999999997,1650.6,0,0,1,0,0,relatively new,133,2,42,550.1999999999999
460,M3M Merlin,3.5,14843,3,4,3+,15.0,South,flat,sector 67,2360.3579999999997,1650.6,0,0,1,0,0,relatively new,133,2,42,550.1999999999999
461,DLF The Icon,5.25,20388,4,4,3,9.0,North,flat,sector 53,3660.7999999999997,2560.0,0,0,1,1,1,,101,1,44,640.0
462,Ansal Heights,0.72,4500,3,3,3,9.0,South-West,flat,sector 92,2288.0,1600.0,0,0,1,0,0,relatively new,28,1,0,533.3333333333334
463,Professors Enclave CGHS,1.55,7750,3,3,3+,6.0,East,flat,sector 56,2002.0,1400.0,0,0,1,0,0,old property,28,1,50,466.6666666666667
464,Vatika Gurgaon 21,1.4,7179,4,4,3,10.0,North-East,flat,sector 83,2788.5,1950.0,0,0,1,0,0,relatively new,21,1,42,487.5
465,Experion Windchants,3.75,13383,3,5,3+,22.0,South-West,flat,sector 112,2804.8019999999997,1961.3999999999999,0,0,1,0,0,relatively new,28,2,40,653.8
466,Capital Residences 360,1.51,7641,3,3,3,7.0,South-East,flat,sector 70a,1977.9759999999997,1383.1999999999998,0,0,1,0,0,relatively new,28,1,26,461.0666666666666
467,Tulip Violet,1.5,10714,3,3,2,8.0,North-East,flat,sector 69,2002.0,1400.0,0,0,0,1,0,relatively new,141,2,42,466.6666666666667
468,Bestech Park View Grand Spa,2.2,8270,3,4,3+,8.0,East,flat,sector 81,3289.0,2300.0,0,0,1,0,0,relatively new,136,2,42,766.6666666666666
469,Vatika Gurgaon 21,1.18,6801,3,3,2,14.0,North,flat,sector 83,2145.0,1500.0,1,0,0,0,0,relatively new,16,1,42,500.0
470,Alpha Corp GurgaonOne 84,0.85,6692,2,2,3,6.0,West,flat,sector 84,1501.5,1050.0,1,0,0,0,0,relatively new,19,2,41,525.0
471,Alpha Corp GurgaonOne 84,1.49,7590,3,3,3,6.0,South-East,flat,sector 84,2431.0,1700.0,0,0,1,0,0,relatively new,19,1,41,566.6666666666666
472,Parsvnath Exotica,6.5,19174,4,5,3+,10.0,South,flat,sector 53,3575.0,2500.0,0,1,1,1,0,relatively new,141,2,43,625.0
473,Vatika Gurgaon 21,1.42,8875,4,4,3,7.0,South-West,flat,sector 83,2288.0,1600.0,0,1,1,0,0,relatively new,86,1,42,400.0
474,DLF The Skycourt,1.72,8916,3,3,1,8.0,North,flat,sector 86,1930.9289999999999,1350.3,0,0,0,0,1,relatively new,28,2,25,450.09999999999997
475,Unitech Fresco,1.14,8532,2,2,2,19.0,East,flat,sector 50,1573.0,1100.0,0,0,0,0,1,old property,141,2,43,550.0
476,Ansal Maple Crescent,1.35,10037,3,3,3,2.0,South,flat,sector 43,1859.0,1300.0,0,0,0,0,1,,64,2,42,433.3333333333333
477,Prime Habitat,0.27,6049,2,2,1,10.0,South,flat,sector 99a,640.64,448.0,1,0,0,0,0,relatively new,59,1,41,224.0
478,M3M Woodshire,1.21,6227,3,3,3,7.0,East,flat,sector 107,2145.0,1500.0,1,0,0,0,0,old property,103,2,16,500.0
479,Indiabulls Enigma,3.45,10147,4,4,3,9.0,North,flat,sector 110,3403.3999999999996,2380.0,0,0,1,0,0,old property,97,1,51,595.0
480,Shapoorji Pallonji Joyville Gurugram,1.95,10529,3,3,3,10.0,North-East,flat,sector 102,1853.8519999999996,1296.3999999999999,1,0,0,0,0,relatively new,56,1,34,432.13333333333327
481,Puri Diplomatic Greens,3.65,12372,4,5,3+,17.0,West,flat,sector 111,2952.95,2065.0,0,0,1,0,0,old property,105,1,44,516.25
482,DLF Regency Park 2,2.3,11817,3,3,3,7.0,North-East,flat,sector 28,2032.8880000000001,1421.6000000000001,0,0,1,0,0,old property,99,1,37,473.86666666666673
483,La Vida by Tata Housing,3.05,15561,3,4,3,3.0,North-West,flat,sector 113,2802.7999999999997,1960.0,0,0,1,0,0,relatively new,141,1,41,653.3333333333334
484,La Vida by Tata Housing,2.35,13352,3,4,3,3.0,West,flat,sector 113,2516.7999999999997,1760.0,0,0,1,0,0,relatively new,141,1,41,586.6666666666666
485,Pareena Coban Residences,1.05,6774,2,2,3,2.0,East,flat,sector 99a,1773.1999999999998,1240.0,0,1,0,0,0,relatively new,28,1,55,620.0
486,Pareena Coban Residences,1.02,8793,2,2,3,3.0,North,flat,sector 99a,1658.8,1160.0,0,1,0,0,0,relatively new,141,1,55,580.0
487,Pareena Coban Residences,1.08,6625,3,5,3,2.0,West,flat,sector 99a,2330.9,1630.0,0,0,1,0,1,relatively new,28,1,55,543.3333333333334
488,Tata Gurgaon Gateway,1.75,10443,2,2,2,10.0,North,flat,sector 113,1581.58,1106.0,0,1,0,0,0,relatively new,86,1,52,553.0
489,Tata Gurgaon Gateway,2.45,10786,3,3,3,8.0,North,flat,sector 113,2227.225,1557.5,1,0,0,0,0,relatively new,95,1,52,519.1666666666666
490,Tata Gurgaon Gateway,6.0,9139,5,6,3+,24.0,North,flat,sector 113,9387.949999999999,6565.0,1,0,0,0,0,old property,99,1,52,1313.0
491,ATS Kocoon,1.68,9627,3,3,3,8.0,North-East,flat,sector 109,1746.745,1221.5,1,0,0,0,0,relatively new,119,1,30,407.1666666666667
492,Shapoorji Pallonji Joyville Gurugram,1.26,10041,2,2,2,10.0,North,flat,sector 102,1216.215,850.5,1,0,0,0,0,relatively new,94,1,34,425.25
493,Conscient Heritage Max,1.82,9011,3,4,3+,12.0,North-East,flat,sector 102,1943.9419999999998,1359.3999999999999,0,0,1,0,0,relatively new,83,1,50,453.13333333333327
494,Puri Diplomatic Greens,2.58,11727,3,4,2,9.0,East,flat,sector 111,2202.2,1540.0,0,0,1,0,0,relatively new,89,1,44,513.3333333333334
495,La Vida by Tata Housing,1.75,10489,2,2,3,10.0,East,flat,sector 113,1574.5729999999999,1101.1,0,1,0,0,0,relatively new,81,1,41,550.55
496,Sobha City,2.6,15195,3,3,2,8.0,East,flat,sector 108,1712.7109999999996,1197.6999999999998,1,0,0,0,0,relatively new,89,1,33,399.2333333333333
497,Sobha City,2.9,14478,3,4,2,11.0,North-East,flat,sector 108,2005.0029999999997,1402.1,1,0,0,0,0,relatively new,97,1,33,467.3666666666666
498,M3M Woodshire,1.4,5929,3,4,3+,6.0,North-East,flat,sector 107,2363.3609999999994,1652.6999999999998,0,0,1,0,0,relatively new,102,1,16,550.9
499,ATS Tourmaline,2.95,9365,4,5,3+,10.0,North-East,flat,sector 109,3153.1499999999996,2205.0,0,0,1,0,0,relatively new,86,1,44,551.25
500,ATS Tourmaline,2.25,8704,3,4,3,14.0,North-East,flat,sector 109,2587.5849999999996,1809.4999999999998,0,0,1,0,0,relatively new,86,1,44,603.1666666666666
501,ATS Tourmaline,1.4,8000,3,3,3+,9.0,East,flat,sector 109,1751.75,1225.0,1,0,0,0,0,relatively new,80,1,44,408.3333333333333
502,SBTL Caladium,1.26,6542,3,2,3,8.0,North-East,flat,sector 109,1881.8799999999999,1316.0,1,0,0,0,0,relatively new,87,1,16,438.6666666666667
503,Tulip Violet,1.7,8623,4,4,1,12.0,North-West,flat,sector 69,1971.97,1379.0,1,0,0,0,0,relatively new,78,1,42,344.75
504,Tulip Violet,1.3,8283,3,3,1,12.0,South-West,flat,sector 69,1569.5679999999998,1097.6,0,0,0,1,0,relatively new,81,1,42,365.8666666666666
505,Tulip Violet,1.32,8411,3,3,1,12.0,South-East,flat,sector 69,1569.5679999999998,1097.6,0,0,0,1,0,relatively new,81,1,42,365.8666666666666
506,Tulip Violet,1.43,8886,3,3,2,1.0,North-West,flat,sector 69,1609.6079999999997,1125.6,0,0,0,1,0,relatively new,81,1,42,375.2
507,DLF The Ultima,2.25,10553,3,3,3+,6.0,East,flat,sector 81,2134.1319999999996,1492.3999999999999,0,0,1,0,0,New Property,138,0,42,497.46666666666664
508,M3M Golfestate,5.4,18126,3,4,3,19.0,North-East,flat,sector 65,2981.9789999999994,2085.2999999999997,0,1,1,0,0,old property,144,2,51,695.0999999999999
509,M3M Skywalk,1.6,9512,2,2,2,26.0,South,flat,sector 74,1923.35,1345.0,1,0,0,0,0,relatively new,127,2,34,672.5
510,The Lions CGHS,2.09,8708,4,4,3+,7.0,East,flat,sector 56,3146.0,2200.0,0,0,0,0,1,relatively new,104,2,50,550.0
511,Emaar Palm Gardens,1.38,8023,3,3,3,5.0,South-West,flat,sector 83,1644.5,1150.0,0,0,1,0,0,relatively new,7,2,41,383.3333333333333
512,BPTP Terra,1.72,9497,3,3,3,9.0,South,flat,sector 37d,1424.28,996.0,0,1,0,0,0,relatively new,15,2,42,332.0
513,M3M Skywalk,1.47,10954,2,2,3,26.0,,flat,sector 74,1416.4149999999997,990.4999999999999,1,0,0,0,0,New Property,40,2,34,495.24999999999994
514,CHD Avenue 71,1.1,6104,3,4,3,3.0,South,flat,sector 71,1803.8019999999997,1261.3999999999999,0,0,1,0,0,old property,16,1,30,420.46666666666664
515,CHD Avenue 71,1.32,6019,4,4,3,14.0,South,flat,sector 71,2195.1929999999998,1535.1,0,0,1,0,0,old property,63,1,30,383.775
516,CHD Avenue 71,1.35,5744,4,4,3,8.0,North-West,flat,sector 71,2352.35,1645.0,0,0,1,0,0,old property,16,1,30,411.25
517,HSIIDC Sidco Aravali,0.9,3477,3,3,3+,8.0,East,flat,manesar,2590.5879999999997,1811.6,0,0,1,0,0,old property,19,1,14,603.8666666666667
518,Shapoorji Pallonji Joyville Gurugram,2.0,10799,3,3,3,9.0,South-East,flat,sector 102,1853.8519999999996,1296.3999999999999,1,0,0,0,0,relatively new,26,1,34,432.13333333333327
519,Shapoorji Pallonji Joyville Gurugram,1.8,10638,3,3,3,5.0,North,flat,sector 102,1693.6919999999998,1184.3999999999999,1,0,0,0,0,relatively new,28,1,34,394.79999999999995
520,ATS Kocoon,1.6,9169,3,3,3,10.0,North,flat,sector 109,1746.745,1221.5,1,0,0,0,0,relatively new,76,1,30,407.1666666666667
521,Bestech Park View Spa Next,2.7,11489,4,4,3+,9.0,South-West,flat,sector 67,2352.35,1645.0,0,0,1,1,0,old property,127,2,42,411.25
522,DLF The Skycourt,1.55,8031,3,3,3,5.0,South,flat,sector 86,2459.6,1720.0,1,0,0,0,0,relatively new,28,1,25,573.3333333333334
523,Bestech Park View Residency,1.02,7208,2,2,3,11.0,South-West,flat,sector 3,1416.4149999999997,990.4999999999999,1,0,0,0,0,old property,85,1,51,495.24999999999994
524,Bestech Park View Residency,0.56,8553,1,1,2,7.0,South-West,flat,sector 3,929.5,650.0,1,0,0,0,0,old property,79,1,51,650.0
525,Ireo Skyon,2.5,16129,2,3,2,4.0,North-West,flat,sector 60,1551.55,1085.0,0,1,0,0,0,relatively new,96,1,43,542.5
526,Pioneer Park,2.0,11764,3,3,3,24.0,North-West,flat,sector 61,1701.6999999999998,1190.0,1,0,0,0,0,old property,75,2,43,396.6666666666667
527,Dhoot Time Residency,2.2,12813,3,4,3+,8.0,North-West,flat,sector 63,1718.7169999999996,1201.8999999999999,0,1,0,0,0,old property,71,2,17,400.63333333333327
528,Experion The Heartsong,1.65,8237,3,4,3,3.0,North-West,flat,sector 108,1861.86,1302.0,0,1,0,0,0,old property,74,1,42,434.0
529,Vatika The Seven Lamps,0.85,6538,2,2,2,0.0,East,flat,sector 82,1301.2999999999997,909.9999999999999,1,0,0,0,0,relatively new,28,1,42,454.99999999999994
530,DLF Wellington Estate,2.09,14615,3,3,2,11.0,West,flat,sector 53,1431.4299999999998,1000.9999999999999,1,0,0,0,0,,74,2,40,333.66666666666663
531,Bestech Park View Residency,0.98,6932,2,2,3,11.0,East,flat,sector 3,1416.4149999999997,990.4999999999999,1,0,0,0,0,old property,80,1,51,495.24999999999994
532,DLF Carlton Estate,2.1,15418,3,3,1,2.0,East,flat,sector 53,1363.3619999999999,953.4,0,0,0,0,0,,82,2,35,317.8
533,The Lions CGHS,2.05,8541,4,4,3+,8.0,West,flat,sector 56,3432.0,2400.0,1,0,0,0,0,old property,28,2,50,600.0
534,PGR Shree Kripaluji Apartment,1.4,6086,3,3,3+,8.0,North-East,flat,sector 52,3289.0,2300.0,1,0,0,0,0,relatively new,55,2,32,766.6666666666666
535,Sagar Apartment,1.45,7250,3,3,3+,7.0,South,flat,sector 56,2574.0,1800.0,0,1,1,1,1,,132,1,50,600.0
536,Paras Irene,1.2,8450,2,2,3,6.0,North-East,flat,sector 70a,1421.4199999999998,993.9999999999999,1,0,0,0,0,old property,24,1,42,496.99999999999994
537,Shree Vardhman Victoria,1.65,8461,3,4,3,5.0,South-East,flat,sector 70,1660.23,1161.0,0,0,1,0,1,relatively new,28,2,37,387.0
538,SS The Leaf,1.05,6402,2,2,3,6.0,North-East,flat,sector 85,1641.6399999999999,1148.0,0,0,0,0,1,relatively new,28,1,42,574.0
539,Pyramid Urban,0.56,7928,2,2,2,0.0,North-East,flat,sector 67a,1001.0,700.0,0,0,0,0,1,relatively new,28,1,31,350.0
540,Experion Windchants,3.4,12134,3,3,2,14.0,North-East,flat,sector 112,2804.8019999999997,1961.3999999999999,1,0,0,0,0,relatively new,130,1,40,653.8
541,ATS Triumph,1.73,7554,3,4,3+,15.0,North-East,flat,sector 104,2292.29,1603.0,0,0,1,0,0,relatively new,128,1,52,534.3333333333334
542,Eldeco Accolade,0.72,5607,2,2,3,10.0,North-East,flat,sohna,1276.2749999999999,892.5,1,0,0,0,0,relatively new,126,1,18,446.25
543,Eldeco Accolade,0.78,5422,2,2,2,7.0,North,flat,sohna,1458.4569999999999,1019.9,0,1,0,0,0,relatively new,121,2,18,509.95
544,M3M Golfestate,5.5,16959,3,4,3,3.0,North-East,flat,sector 65,3414.8399999999997,2388.0,0,0,1,0,0,relatively new,28,1,51,796.0
