,society,price,bedRoom,bathroom,balcony,floorNum,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
376,Bestech Park View Grand Spa,2.35,3,4,3+,6.0,flat,sector 81,3369.08,2356.0,0,0,1,0,0,relatively new,95,2,42,785.3333333333334
377,DLF New Town Heights 1,1.54,4,4,3+,12.0,flat,sector 90,2645.5,1850.0,0,0,1,1,0,old property,99,2,25,462.5
378,DLF New Town Heights 2,1.27,3,4,3,19.0,flat,sector 86,2073.5,1450.0,0,0,1,1,0,relatively new,101,1,31,483.3333333333333
379,DLF Regal Gardens,1.17,3,3,3,15.0,flat,sector 90,1844.7,1290.0,1,0,0,0,0,relatively new,116,2,24,430.0
380,Conscient Heritage Max,2.22,3,4,3+,15.0,flat,sector 102,2288.0,1600.0,0,1,1,0,0,relatively new,70,1,50,533.3333333333334
381,DLF Regency Park 1,1.24,2,2,3+,19.0,flat,sector 28,1430.0,1000.0,0,0,0,1,0,old property,131,2,33,500.0
382,Godrej 101,1.12,2,2,3,6.0,flat,sector 79,1716.0,1200.0,0,1,0,0,0,relatively new,28,1,16,600.0
383,Adani M2K Oyster Grande,1.9,3,4,3,21.0,flat,sector 102,1930.5,1350.0,0,0,1,0,0,relatively new,60,1,42,450.0
384,DLF Regency Park 1,1.35,2,2,2,14.0,flat,sector 28,1501.5,1050.0,0,0,0,0,0,undefined,62,1,33,525.0
385,Alpha Corp GurgaonOne 84,2.24,4,4,3,12.0,flat,sector 84,4147.0,2900.0,0,0,1,0,0,relatively new,14,1,41,725.0
386,Godrej Icon,1.31,2,2,3+,3.0,flat,sector 88a,1618.6169999999995,1131.9,0,1,0,0,0,relatively new,85,1,36,565.9499999999999
387,Emaar MGF Emerald Estate,1.7,3,3,3,7.0,flat,sector 65,1156.87,809.0,0,1,0,0,0,relatively new,98,2,44,269.6666666666667
388,Vatika Gurgaon 21,1.19,3,3,2,10.0,flat,sector 83,2288.0,1600.0,0,0,1,0,0,relatively new,21,2,42,533.3333333333334
389,Green Campus CHS,0.92,3,3,3+,8.0,flat,manesar,2288.0,1600.0,0,0,1,0,0,old property,1,1,14,533.3333333333334
390,Green Campus CHS,0.9,3,3,3+,6.0,flat,manesar,2289.287,1600.9,0,0,1,0,0,old property,4,1,14,533.6333333333333
391,Puri Emerald Bay,2.3,3,4,3+,10.0,flat,sector 104,2452.45,1715.0,0,0,1,0,0,old property,86,1,59,571.6666666666666
392,Puri Emerald Bay,1.58,2,3,3,11.0,flat,sector 104,1701.6999999999998,1190.0,0,0,1,0,0,relatively new,86,1,59,595.0
393,Indiabulls Enigma,4.25,5,5,3+,4.0,flat,sector 110,3883.88,2716.0,0,0,1,0,0,relatively new,89,1,51,543.2
394,Ireo Victory Valley,4.55,4,4,3+,19.0,flat,sector 67,3133.13,2191.0,0,0,1,0,0,relatively new,130,2,42,547.75
395,Bestech Park View Spa Next,2.85,4,4,3+,5.0,flat,sector 67,2352.35,1645.0,0,0,1,1,0,old property,128,2,42,411.25
396,DLF The Ultima,2.3,3,4,3+,6.0,flat,sector 81,2094.092,1464.4,0,0,1,0,0,New Property,139,0,42,488.13333333333327
397,Tulip Ivory,2.0,4,5,3+,7.0,flat,sector 70,2788.5,1950.0,0,0,1,0,0,old property,144,2,42,487.5
398,Ireo Skyon,3.75,4,4,3,12.0,flat,sector 60,3360.5,2350.0,0,0,1,0,0,relatively new,28,2,43,587.5
399,Ambience Creacions,6.16,4,5,3+,10.0,flat,sector 22,4290.0,3000.0,0,0,1,1,0,New Property,28,2,49,750.0
