,society,price,bedRoom,bathroom,balcony,floorNum,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
433,Sobha City,3.25,3,3,3,12.0,flat,sector 108,2074.072,1450.4,1,0,0,0,0,relatively new,89,1,33,483.4666666666666
434,SBTL Caladium,1.6,3,3,3,9.0,flat,sector 109,2547.545,1781.5,0,0,1,0,0,relatively new,64,1,16,593.8333333333334
435,ATS Triumph,4.45,4,5,3+,27.0,flat,sector 104,9295.0,6500.0,1,0,0,0,0,relatively new,91,1,52,1625.0
436,M3M Woodshire,0.82,2,2,3+,7.0,flat,sector 107,1367.3659999999998,956.2,1,0,0,0,0,relatively new,96,1,16,478.1
437,Signature Global Solera,0.5,3,2,2,6.0,flat,sector 107,922.35,645.0,0,0,0,0,1,relatively new,11,1,33,215.0
438,Signature Global Solera,0.52,3,2,2,5.0,flat,sector 107,922.35,645.0,0,0,0,0,1,relatively new,11,1,33,215.0
439,Signature Global Solera,0.28,2,2,2,6.0,flat,sector 107,699.27,489.0,1,0,0,0,0,relatively new,36,1,33,244.5
440,Signature Global Solera,0.29,2,2,2,3.0,flat,sector 107,699.27,489.0,1,0,0,0,0,relatively new,36,1,33,244.5
441,Experion The Heartsong,0.97,2,2,3,10.0,flat,sector 108,1501.5,1050.0,0,0,1,0,0,relatively new,131,1,42,525.0
442,M3M Woodshire,0.8,2,2,3+,7.0,flat,sector 107,1367.3659999999998,956.2,1,0,0,0,0,relatively new,133,2,16,478.1
443,Emaar Gurgaon Greens,1.45,3,3,3,10.0,flat,sector 102,1461.46,1022.0,0,0,1,0,0,relatively new,133,1,42,340.6666666666667
444,Ireo The Corridors,1.4,2,2,2,8.0,flat,sector 67a,1229.8,860.0,0,1,0,0,1,relatively new,65,1,43,430.0
445,Tulip Violet,1.42,3,3,2,8.0,flat,sector 69,1579.5779999999995,1104.6,0,0,0,1,0,relatively new,64,2,42,368.2
446,Experion Windchants,2.6,2,2,3,8.0,flat,sector 112,2443.441,1708.6999999999998,1,0,0,0,0,relatively new,138,1,40,854.3499999999999
447,M3M Woodshire,1.3,3,3,3+,4.0,flat,sector 107,2083.51,1457.0,0,0,0,1,0,relatively new,141,2,16,485.6666666666667
448,Satya The Hermitage,1.0,3,4,3+,2.0,flat,sector 103,2137.85,1495.0,0,0,1,1,0,relatively new,141,1,50,498.3333333333333
449,Conscient Heritage Max,2.2,3,4,3+,20.0,flat,sector 102,1615.9,1130.0,0,1,1,0,0,relatively new,54,2,50,376.6666666666667
450,Denso Haryana Housing Society,0.9,3,3,3+,5.0,flat,manesar,2987.27,2089.0,0,0,1,0,0,old property,10,1,14,696.3333333333334
451,The Nav Manesar Apartment,0.85,3,3,3+,5.0,flat,sector 1,2152.15,1505.0,0,0,1,0,0,old property,4,1,61,501.6666666666667
452,Umang Winter Hills,1.05,3,3,3,7.0,flat,sector 77,2002.0,1400.0,1,0,0,0,0,relatively new,28,1,49,466.6666666666667
453,SS The Leaf,1.65,3,4,3,9.0,flat,sector 85,2410.408,1685.6,0,0,0,1,0,New Property,15,1,42,561.8666666666667
454,Alpha Corp GurgaonOne 84,1.5,3,3,3,20.0,flat,sector 84,2431.0,1700.0,0,0,1,0,0,relatively new,24,2,41,566.6666666666666
455,M3M Merlin,3.4,3,4,3+,16.0,flat,sector 67,2360.358,1650.6,0,0,1,0,0,relatively new,133,2,42,550.1999999999999
456,M3M Merlin,3.5,3,4,3+,15.0,flat,sector 67,2360.358,1650.6,0,0,1,0,0,relatively new,133,2,42,550.1999999999999
457,DLF The Icon,5.25,4,4,3,9.0,flat,sector 53,3660.8,2560.0,0,0,1,1,1,undefined,101,1,44,640.0
458,Ansal Heights,0.72,3,3,3,9.0,flat,sector 92,2288.0,1600.0,0,0,1,0,0,relatively new,28,1,0,533.3333333333334
459,Professors Enclave CGHS,1.55,3,3,3+,6.0,flat,sector 56,2002.0,1400.0,0,0,1,0,0,old property,28,1,50,466.6666666666667
460,Vatika Gurgaon 21,1.4,4,4,3,10.0,flat,sector 83,2788.5,1950.0,0,0,1,0,0,relatively new,21,1,42,487.5
461,Experion Windchants,3.75,3,5,3+,22.0,flat,sector 112,2804.802,1961.4,0,0,1,0,0,relatively new,28,2,40,653.8
462,Capital Residences 360,1.51,3,3,3,7.0,flat,sector 70a,1977.976,1383.1999999999998,0,0,1,0,0,relatively new,28,1,26,461.0666666666666
463,Tulip Violet,1.5,3,3,2,8.0,flat,sector 69,2002.0,1400.0,0,0,0,1,0,relatively new,141,2,42,466.6666666666667
464,Bestech Park View Grand Spa,2.2,3,4,3+,8.0,flat,sector 81,3289.0,2300.0,0,0,1,0,0,relatively new,136,2,42,766.6666666666666
465,Vatika Gurgaon 21,1.18,3,3,2,14.0,flat,sector 83,2145.0,1500.0,1,0,0,0,0,relatively new,16,1,42,500.0
466,Alpha Corp GurgaonOne 84,0.85,2,2,3,6.0,flat,sector 84,1501.5,1050.0,1,0,0,0,0,relatively new,19,2,41,525.0
467,Alpha Corp GurgaonOne 84,1.49,3,3,3,6.0,flat,sector 84,2431.0,1700.0,0,0,1,0,0,relatively new,19,1,41,566.6666666666666
468,Parsvnath Exotica,6.5,4,5,3+,10.0,flat,sector 53,3575.0,2500.0,0,1,1,1,0,relatively new,141,2,43,625.0
469,Vatika Gurgaon 21,1.42,4,4,3,7.0,flat,sector 83,2288.0,1600.0,0,1,1,0,0,relatively new,86,1,42,400.0
470,DLF The Skycourt,1.72,3,3,1,8.0,flat,sector 86,1930.929,1350.3,0,0,0,0,1,relatively new,28,2,25,450.1
471,Unitech Fresco,1.14,2,2,2,19.0,flat,sector 50,1573.0,1100.0,0,0,0,0,1,old property,141,2,43,550.0
472,Ansal Maple Crescent,1.35,3,3,3,2.0,flat,sector 43,1859.0,1300.0,0,0,0,0,1,undefined,64,2,42,433.3333333333333
473,Prime Habitat,0.27,2,2,1,10.0,flat,sector 99a,640.64,448.0,1,0,0,0,0,relatively new,59,1,41,224.0
474,M3M Woodshire,1.21,3,3,3,7.0,flat,sector 107,2145.0,1500.0,1,0,0,0,0,old property,103,2,16,500.0
475,Indiabulls Enigma,3.45,4,4,3,9.0,flat,sector 110,3403.4,2380.0,0,0,1,0,0,old property,97,1,51,595.0
476,Shapoorji Pallonji Joyville Gurugram,1.95,3,3,3,10.0,flat,sector 102,1853.852,1296.4,1,0,0,0,0,relatively new,56,1,34,432.13333333333327
477,Puri Diplomatic Greens,3.65,4,5,3+,17.0,flat,sector 111,2952.95,2065.0,0,0,1,0,0,old property,105,1,44,516.25
478,DLF Regency Park 2,2.3,3,3,3,7.0,flat,sector 28,2032.888,1421.6,0,0,1,0,0,old property,99,1,37,473.86666666666673
479,La Vida by Tata Housing,3.05,3,4,3,3.0,flat,sector 113,2802.8,1960.0,0,0,1,0,0,relatively new,141,1,41,653.3333333333334
480,La Vida by Tata Housing,2.35,3,4,3,3.0,flat,sector 113,2516.8,1760.0,0,0,1,0,0,relatively new,141,1,41,586.6666666666666
481,Pareena Coban Residences,1.05,2,2,3,2.0,flat,sector 99a,1773.1999999999998,1240.0,0,1,0,0,0,relatively new,28,1,55,620.0
482,Pareena Coban Residences,1.02,2,2,3,3.0,flat,sector 99a,1658.8,1160.0,0,1,0,0,0,relatively new,141,1,55,580.0
483,Pareena Coban Residences,1.08,3,5,3,2.0,flat,sector 99a,2330.9,1630.0,0,0,1,0,1,relatively new,28,1,55,543.3333333333334
484,Tata Gurgaon Gateway,1.75,2,2,2,10.0,flat,sector 113,1581.58,1106.0,0,1,0,0,0,relatively new,86,1,52,553.0
485,Tata Gurgaon Gateway,2.45,3,3,3,8.0,flat,sector 113,2227.225,1557.5,1,0,0,0,0,relatively new,95,1,52,519.1666666666666
486,Tata Gurgaon Gateway,6.0,5,6,3+,24.0,flat,sector 113,9387.95,6565.0,1,0,0,0,0,old property,99,1,52,1313.0
487,ATS Kocoon,1.68,3,3,3,8.0,flat,sector 109,1746.745,1221.5,1,0,0,0,0,relatively new,119,1,30,407.1666666666667
488,Shapoorji Pallonji Joyville Gurugram,1.26,2,2,2,10.0,flat,sector 102,1216.215,850.5,1,0,0,0,0,relatively new,94,1,34,425.25
489,Conscient Heritage Max,1.82,3,4,3+,12.0,flat,sector 102,1943.942,1359.4,0,0,1,0,0,relatively new,83,1,50,453.13333333333327
490,Puri Diplomatic Greens,2.58,3,4,2,9.0,flat,sector 111,2202.2,1540.0,0,0,1,0,0,relatively new,89,1,44,513.3333333333334
491,La Vida by Tata Housing,1.75,2,2,3,10.0,flat,sector 113,1574.573,1101.1,0,1,0,0,0,relatively new,81,1,41,550.55
492,Sobha City,2.6,3,3,2,8.0,flat,sector 108,1712.7109999999996,1197.6999999999998,1,0,0,0,0,relatively new,89,1,33,399.2333333333333
493,Sobha City,2.9,3,4,2,11.0,flat,sector 108,2005.003,1402.1,1,0,0,0,0,relatively new,97,1,33,467.3666666666666
494,M3M Woodshire,1.4,3,4,3+,6.0,flat,sector 107,2363.3609999999994,1652.6999999999998,0,0,1,0,0,relatively new,102,1,16,550.9
495,ATS Tourmaline,2.95,4,5,3+,10.0,flat,sector 109,3153.15,2205.0,0,0,1,0,0,relatively new,86,1,44,551.25
496,ATS Tourmaline,2.25,3,4,3,14.0,flat,sector 109,2587.585,1809.5,0,0,1,0,0,relatively new,86,1,44,603.1666666666666
497,ATS Tourmaline,1.4,3,3,3+,9.0,flat,sector 109,1751.75,1225.0,1,0,0,0,0,relatively new,80,1,44,408.3333333333333
498,SBTL Caladium,1.26,3,2,3,8.0,flat,sector 109,1881.88,1316.0,1,0,0,0,0,relatively new,87,1,16,438.6666666666667
499,Tulip Violet,1.7,4,4,1,12.0,flat,sector 69,1971.97,1379.0,1,0,0,0,0,relatively new,78,1,42,344.75
500,Tulip Violet,1.3,3,3,1,12.0,flat,sector 69,1569.5679999999998,1097.6,0,0,0,1,0,relatively new,81,1,42,365.8666666666666
501,Tulip Violet,1.32,3,3,1,12.0,flat,sector 69,1569.5679999999998,1097.6,0,0,0,1,0,relatively new,81,1,42,365.8666666666666
502,Tulip Violet,1.43,3,3,2,1.0,flat,sector 69,1609.6079999999995,1125.6,0,0,0,1,0,relatively new,81,1,42,375.2
503,DLF The Ultima,2.25,3,3,3+,6.0,flat,sector 81,2134.132,1492.4,0,0,1,0,0,New Property,138,0,42,497.4666666666666
504,M3M Golfestate,5.4,3,4,3,19.0,flat,sector 65,2981.979,2085.3,0,1,1,0,0,old property,144,2,51,695.0999999999999
505,M3M Skywalk,1.6,2,2,2,26.0,flat,sector 74,1923.35,1345.0,1,0,0,0,0,relatively new,127,2,34,672.5
506,The Lions CGHS,2.09,4,4,3+,7.0,flat,sector 56,3146.0,2200.0,0,0,0,0,1,relatively new,104,2,50,550.0
507,Emaar Palm Gardens,1.38,3,3,3,5.0,flat,sector 83,1644.5,1150.0,0,0,1,0,0,relatively new,7,2,41,383.3333333333333
508,BPTP Terra,1.72,3,3,3,9.0,flat,sector 37d,1424.28,996.0,0,1,0,0,0,relatively new,15,2,42,332.0
509,M3M Skywalk,1.47,2,2,3,26.0,flat,sector 74,1416.4149999999995,990.5,1,0,0,0,0,New Property,40,2,34,495.25
510,CHD Avenue 71,1.1,3,4,3,3.0,flat,sector 71,1803.802,1261.4,0,0,1,0,0,old property,16,1,30,420.4666666666666
511,CHD Avenue 71,1.32,4,4,3,14.0,flat,sector 71,2195.193,1535.1,0,0,1,0,0,old property,63,1,30,383.775
512,CHD Avenue 71,1.35,4,4,3,8.0,flat,sector 71,2352.35,1645.0,0,0,1,0,0,old property,16,1,30,411.25
513,HSIIDC Sidco Aravali,0.9,3,3,3+,8.0,flat,manesar,2590.588,1811.6,0,0,1,0,0,old property,19,1,14,603.8666666666667
514,Shapoorji Pallonji Joyville Gurugram,2.0,3,3,3,9.0,flat,sector 102,1853.852,1296.4,1,0,0,0,0,relatively new,26,1,34,432.13333333333327
515,Shapoorji Pallonji Joyville Gurugram,1.8,3,3,3,5.0,flat,sector 102,1693.6919999999998,1184.4,1,0,0,0,0,relatively new,28,1,34,394.8
516,ATS Kocoon,1.6,3,3,3,10.0,flat,sector 109,1746.745,1221.5,1,0,0,0,0,relatively new,76,1,30,407.1666666666667
517,Bestech Park View Spa Next,2.7,4,4,3+,9.0,flat,sector 67,2352.35,1645.0,0,0,1,1,0,old property,127,2,42,411.25
518,DLF The Skycourt,1.55,3,3,3,5.0,flat,sector 86,2459.6,1720.0,1,0,0,0,0,relatively new,28,1,25,573.3333333333334
519,Bestech Park View Residency,1.02,2,2,3,11.0,flat,sector 3,1416.4149999999995,990.5,1,0,0,0,0,old property,85,1,51,495.25
520,Bestech Park View Residency,0.56,1,1,2,7.0,flat,sector 3,929.5,650.0,1,0,0,0,0,old property,79,1,51,650.0
521,Ireo Skyon,2.5,2,3,2,4.0,flat,sector 60,1551.55,1085.0,0,1,0,0,0,relatively new,96,1,43,542.5
522,Pioneer Park,2.0,3,3,3,24.0,flat,sector 61,1701.6999999999998,1190.0,1,0,0,0,0,old property,75,2,43,396.6666666666667
523,Dhoot Time Residency,2.2,3,4,3+,8.0,flat,sector 63,1718.7169999999996,1201.9,0,1,0,0,0,old property,71,2,17,400.63333333333327
524,Experion The Heartsong,1.65,3,4,3,3.0,flat,sector 108,1861.86,1302.0,0,1,0,0,0,old property,74,1,42,434.0
525,Vatika The Seven Lamps,0.85,2,2,2,0.0,flat,sector 82,1301.2999999999995,910.0,1,0,0,0,0,relatively new,28,1,42,455.0
526,DLF Wellington Estate,2.09,3,3,2,11.0,flat,sector 53,1431.4299999999998,1001.0,1,0,0,0,0,undefined,74,2,40,333.66666666666663
527,Bestech Park View Residency,0.98,2,2,3,11.0,flat,sector 3,1416.4149999999995,990.5,1,0,0,0,0,old property,80,1,51,495.25
528,DLF Carlton Estate,2.1,3,3,1,2.0,flat,sector 53,1363.362,953.4,0,0,0,0,0,undefined,82,2,35,317.8
529,The Lions CGHS,2.05,4,4,3+,8.0,flat,sector 56,3432.0,2400.0,1,0,0,0,0,old property,28,2,50,600.0
530,PGR Shree Kripaluji Apartment,1.4,3,3,3+,8.0,flat,sector 52,3289.0,2300.0,1,0,0,0,0,relatively new,55,2,32,766.6666666666666
531,Sagar Apartment,1.45,3,3,3+,7.0,flat,sector 56,2574.0,1800.0,0,1,1,1,1,undefined,132,1,50,600.0
532,Paras Irene,1.2,2,2,3,6.0,flat,sector 70a,1421.4199999999998,994.0,1,0,0,0,0,old property,24,1,42,497.0
533,Shree Vardhman Victoria,1.65,3,4,3,5.0,flat,sector 70,1660.23,1161.0,0,0,1,0,1,relatively new,28,2,37,387.0
534,SS The Leaf,1.05,2,2,3,6.0,flat,sector 85,1641.64,1148.0,0,0,0,0,1,relatively new,28,1,42,574.0
535,Pyramid Urban,0.56,2,2,2,0.0,flat,sector 67a,1001.0,700.0,0,0,0,0,1,relatively new,28,1,31,350.0
536,Experion Windchants,3.4,3,3,2,14.0,flat,sector 112,2804.802,1961.4,1,0,0,0,0,relatively new,130,1,40,653.8
537,ATS Triumph,1.73,3,4,3+,15.0,flat,sector 104,2292.29,1603.0,0,0,1,0,0,relatively new,128,1,52,534.3333333333334
538,Eldeco Accolade,0.72,2,2,3,10.0,flat,sohna,1276.275,892.5,1,0,0,0,0,relatively new,126,1,18,446.25
539,Eldeco Accolade,0.78,2,2,2,7.0,flat,sohna,1458.457,1019.9,0,1,0,0,0,relatively new,121,2,18,509.95
540,M3M Golfestate,5.5,3,4,3,3.0,flat,sector 65,3414.84,2388.0,0,0,1,0,0,relatively new,28,1,51,796.0
541,Sidhartha NCR One Phase 1,0.43,2,2,2,6.0,flat,sector 95,1458.6,1020.0,1,0,0,0,0,relatively new,101,1,5,510.0
542,M3M Woodshire,0.8,2,2,3+,6.0,flat,sector 107,1508.65,1055.0,0,0,0,1,0,relatively new,144,2,16,527.5
543,ATS Triumph,2.65,4,4,3+,10.0,flat,sector 104,3153.15,2205.0,0,0,1,0,0,relatively new,144,1,52,551.25
544,DLF Exclusive Floors,2.35,3,3,2,1.0,flat,sector 53,2009.15,1405.0,0,0,0,0,0,undefined,86,1,55,468.3333333333333
545,M3M Woodshire,1.29,3,3,3+,1.0,flat,sector 107,2087.8,1460.0,0,0,0,1,0,relatively new,141,2,16,486.6666666666667
546,M3M Woodshire,1.39,3,4,3+,6.0,flat,sector 107,2545.4,1780.0,0,0,1,1,0,relatively new,144,1,16,593.3333333333334
547,TARC Maceo,1.5,3,4,3+,3.0,flat,sector 91,1894.75,1325.0,0,1,1,0,0,relatively new,88,1,25,441.6666666666667
548,TARC Maceo,1.9,4,4,3,9.0,flat,sector 91,2726.724,1906.8,0,0,1,0,0,relatively new,96,1,25,476.7
549,The Close North,2.35,3,3,3,8.0,flat,sector 50,2645.5,1850.0,0,0,0,0,0,old property,124,2,42,616.6666666666666
550,Ansal API Celebrity Suites,0.6,1,1,1,5.0,flat,sector 2,735.735,514.5,1,0,0,0,0,old property,67,2,61,514.5
551,DLF Ridgewood Estate,2.0,3,3,1,12.0,flat,sector 28,1371.37,959.0,1,0,0,0,0,undefined,73,2,27,319.66666666666663
552,M3M Skywalk,1.57,2,2,3+,10.0,flat,sector 74,1573.0,1100.0,0,0,0,0,1,relatively new,118,1,34,550.0
553,Corona Optus,1.44,3,3,3+,8.0,flat,sector 37c,2845.7,1990.0,0,0,1,0,0,New Property,23,1,40,663.3333333333334
554,Corona Optus,1.26,3,3,3,4.0,flat,sector 37c,1379.95,965.0,1,0,0,0,0,New Property,18,1,40,321.6666666666667
555,M3M Sierra 68,1.05,2,2,2,11.0,flat,sector 68,1430.0,1000.0,1,0,0,0,0,New Property,103,2,42,500.0
556,Parsvnath Exotica,6.44,4,4,3,7.0,flat,sector 53,3393.39,2373.0,0,0,1,0,0,old property,71,2,43,593.25
557,Pioneer Araya,7.56,4,4,3+,23.0,flat,sector 62,4804.8,3360.0,0,0,1,1,0,relatively new,76,2,42,840.0
558,DLF Trinity Towers,3.8,3,3,3+,1.0,flat,sector 53,2802.8,1960.0,0,0,1,1,0,old property,71,2,44,653.3333333333334
559,DLF Park Place,6.75,4,4,2,8.0,flat,sector 54,2193.62,1534.0,0,0,1,0,0,old property,104,0,34,383.5
560,ATS Tourmaline,1.75,3,4,3+,7.0,flat,sector 109,2152.15,1505.0,0,0,1,0,0,relatively new,136,1,44,501.6666666666667
561,Kiran Residency,1.54,3,4,3+,5.0,flat,sector 56,2645.5,1850.0,0,0,1,0,0,undefined,74,1,50,616.6666666666666
562,Emaar Gurgaon Greens,1.4,3,3,3,4.0,flat,sector 102,1651.65,1155.0,0,0,1,0,0,relatively new,75,2,42,385.0
563,Shapoorji Pallonji Joyville Gurugram,0.97,2,2,2,12.0,flat,sector 102,915.915,640.5,1,0,0,0,0,relatively new,84,1,34,320.25
564,Shapoorji Pallonji Joyville Gurugram,1.35,2,2,2,9.0,flat,sector 102,1360.359,951.3,1,0,0,0,0,relatively new,93,1,34,475.65
565,Conscient Heritage Max,1.75,3,4,3+,13.0,flat,sector 102,1943.942,1359.4,0,0,1,0,0,relatively new,85,2,50,453.13333333333327
566,Sobha City,2.45,3,3,3,15.0,flat,sector 108,1887.6,1320.0,1,0,0,0,0,relatively new,28,1,33,440.0
567,Paras Dews,1.5,4,6,3+,11.0,flat,sector 106,2006.29,1403.0,0,0,1,0,0,relatively new,141,1,52,350.75
568,La Vida by Tata Housing,2.4,3,4,3+,5.0,flat,sector 113,2473.9,1730.0,0,0,1,0,0,relatively new,28,1,41,576.6666666666666
569,La Vida by Tata Housing,2.45,3,3,3+,3.0,flat,sector 113,2402.4,1680.0,0,1,0,0,0,relatively new,141,1,41,560.0
570,La Vida by Tata Housing,3.0,3,3,3+,3.0,flat,sector 113,3003.0,2100.0,0,0,1,0,0,relatively new,137,1,41,700.0
571,La Vida by Tata Housing,1.65,3,2,2,3.0,flat,sector 113,1744.6,1220.0,1,0,0,0,0,relatively new,28,1,41,406.6666666666667
572,Paras Dews,0.88,2,2,3+,3.0,flat,sector 106,1487.2,1040.0,1,0,0,0,0,relatively new,28,1,52,520.0
573,Paras Dews,0.88,2,2,3+,1.0,flat,sector 106,1208.35,845.0,1,0,0,0,0,relatively new,28,1,52,422.5
574,Paras Dews,1.28,3,4,3+,24.0,flat,sector 106,1615.9,1130.0,0,0,1,0,0,relatively new,28,1,52,376.6666666666667
575,Paras Dews,1.34,4,5,3+,7.0,flat,sector 106,2006.29,1403.0,0,0,1,0,0,relatively new,28,1,52,350.75
576,Paras Dews,1.32,4,5,3+,11.0,flat,sector 106,2006.29,1403.0,0,0,1,0,0,relatively new,28,1,52,350.75
577,Paras Dews,1.13,3,4,3+,18.0,flat,sector 106,1615.9,1130.0,0,1,1,0,0,relatively new,28,1,52,376.6666666666667
578,Pareena Coban Residences,1.38,4,5,3+,1.0,flat,sector 99a,2759.9,1930.0,0,0,1,0,1,relatively new,28,1,55,482.5
579,Pareena Coban Residences,1.16,3,3,3,3.0,flat,sector 99a,2030.6,1420.0,0,0,1,0,1,relatively new,28,1,55,473.3333333333333
580,La Vida by Tata Housing,2.33,3,3,3,3.0,flat,sector 113,2658.37,1859.0,0,0,1,0,0,New Property,141,1,41,619.6666666666666
581,La Vida by Tata Housing,3.05,3,4,3,15.0,flat,sector 113,3203.2,2240.0,0,0,1,0,0,New Property,144,1,41,746.6666666666666
582,Mapsko Mount Ville,1.25,3,3,2,1.0,flat,sector 79,1232.66,862.0,0,1,0,1,0,relatively new,142,2,42,287.3333333333333
583,Mapsko Mount Ville,1.25,3,3,3,22.0,flat,sector 79,1234.09,863.0,0,1,0,1,0,relatively new,134,1,42,287.6666666666667
584,Mapsko Mount Ville,1.1,3,3,3,22.0,flat,sector 79,1234.09,863.0,0,1,0,1,0,relatively new,113,1,42,287.6666666666667
585,Alpha Corp GurgaonOne 84,2.28,4,4,3+,8.0,flat,sector 84,3718.0,2600.0,0,0,1,0,0,relatively new,61,1,41,650.0
586,SS The Leaf,1.2,2,2,2,4.0,flat,sector 85,1387.1,970.0,0,0,1,0,0,relatively new,88,1,42,485.0
587,SS The Leaf,1.22,2,2,3,16.0,flat,sector 85,1309.88,916.0,0,0,0,0,0,relatively new,88,1,42,458.0
588,SS The Leaf,1.1,2,2,3,12.0,flat,sector 85,1261.26,882.0,0,1,0,0,0,relatively new,78,1,42,441.0
589,SS The Leaf,1.15,2,2,3,20.0,flat,sector 85,1374.23,961.0,0,0,0,1,0,relatively new,99,1,42,480.5
590,Mapsko Mount Ville,1.2,3,3,3,18.0,flat,sector 79,1239.81,867.0,0,1,0,1,0,relatively new,133,2,42,289.0
591,Emaar Palm Gardens,1.4,3,3,3,2.0,flat,sector 83,1565.85,1095.0,0,1,1,1,0,relatively new,144,2,41,365.0
592,Vatika Lifestyle Homes,1.1,3,3,2,8.0,flat,sector 83,1756.755,1228.5,0,1,0,1,0,relatively new,144,2,42,409.5
593,Vatika City Homes,1.0,3,3,2,2.0,flat,sector 83,1741.74,1218.0,0,0,0,0,0,relatively new,144,2,32,406.0
594,Alpha Corp GurgaonOne 84,1.52,3,4,3,15.0,flat,sector 84,2145.0,1500.0,0,0,1,0,0,relatively new,85,1,41,500.0
595,Emaar Palm Gardens,1.8,3,4,3,4.0,flat,sector 83,1778.9199999999998,1244.0,0,1,1,1,0,relatively new,144,2,41,414.6666666666667
596,Emaar Palm Gardens,1.6,3,3,3+,6.0,flat,sector 83,1851.85,1295.0,0,1,1,1,0,relatively new,139,2,41,431.6666666666667
597,Mapsko Mount Ville,1.55,3,4,3,11.0,flat,sector 79,1531.53,1071.0,0,0,1,0,0,relatively new,123,2,42,357.0
598,Mapsko Mount Ville,1.3,3,3,2,6.0,flat,sector 79,1239.81,867.0,0,1,0,1,0,relatively new,130,1,42,289.0
599,Bestech Park View Grand Spa,2.25,3,4,3+,8.0,flat,sector 81,3003.0,2100.0,0,1,1,0,0,relatively new,104,2,42,700.0
600,Orchid Petals,4.79,5,5,3+,14.0,flat,sector 49,4119.115,2880.5,0,1,1,1,0,relatively new,28,1,36,576.1
601,TARC Maceo,1.4,3,3,3+,7.0,flat,sector 91,2288.0,1600.0,1,0,0,0,0,relatively new,64,1,25,533.3333333333334
602,Godrej Oasis,1.38,3,3,3+,7.0,flat,sector 88a,2954.38,2066.0,0,0,1,0,0,relatively new,62,1,18,688.6666666666666
603,Godrej Oasis,1.3,3,3,3+,4.0,flat,sector 88a,2561.13,1791.0,1,0,0,0,0,relatively new,68,1,18,597.0
604,Godrej Aria,1.0,2,2,2,4.0,flat,sector 79,1716.0,1200.0,0,1,0,0,0,relatively new,28,1,49,600.0
605,Godrej Oasis,1.0,2,2,3,7.0,flat,sector 88a,2073.5,1450.0,0,1,0,0,0,relatively new,67,1,18,725.0
606,Godrej Oasis,0.95,2,2,2,6.0,flat,sector 88a,1869.01,1307.0,1,0,0,0,0,relatively new,71,1,18,653.5
607,Ireo Uptown,1.85,2,3,3,16.0,flat,sector 66,1788.9299999999998,1251.0,0,0,1,0,1,relatively new,72,2,24,625.5
608,Emaar MGF Palm Hills,1.65,4,3,3,9.0,flat,sector 77,1951.95,1365.0,0,0,1,0,0,relatively new,82,1,42,341.25
609,M3M Woodshire,1.32,3,3,3,10.0,flat,sector 107,1944.943,1360.1,1,0,0,0,0,relatively new,99,1,16,453.3666666666666
610,M3M Woodshire,1.02,2,2,3,6.0,flat,sector 107,1535.534,1073.8,0,1,0,0,0,relatively new,98,1,16,536.9
611,SBTL Caladium,1.88,4,5,3,10.0,flat,sector 109,3058.055,2138.5,1,0,0,0,0,relatively new,91,1,16,534.625
612,Conscient Heritage Max,2.15,3,4,3,13.0,flat,sector 102,2151.149,1504.3,0,1,1,0,0,relatively new,86,1,50,501.4333333333333
613,Puri Diplomatic Greens,2.58,3,4,2,10.0,flat,sector 111,2202.2,1540.0,0,0,1,0,0,old property,78,1,44,513.3333333333334
614,Puri Diplomatic Greens,2.25,3,3,2,12.0,flat,sector 111,1701.6999999999998,1190.0,1,0,0,0,0,relatively new,89,1,44,396.6666666666667
615,ATS Tourmaline,1.75,3,4,3+,9.0,flat,sector 109,2152.15,1505.0,0,0,1,0,0,relatively new,86,1,44,501.6666666666667
616,Experion The Heartsong,0.93,2,3,3,10.0,flat,sector 108,1284.283,898.0999999999999,1,0,0,0,0,relatively new,74,1,42,449.05
617,Experion Windchants,4.75,3,5,3+,4.0,flat,sector 112,3766.763,2634.1,0,0,1,0,0,relatively new,25,2,40,878.0333333333333
618,SS The Leaf,2.2,4,5,3+,4.0,flat,sector 85,2814.812,1968.4,1,0,0,0,0,relatively new,93,1,42,492.1
619,Tulip Violet,1.7,4,4,2,10.0,flat,sector 69,2302.3,1610.0,0,1,1,1,0,relatively new,144,1,42,402.5
620,Emaar Gurgaon Greens,1.39,3,3,3,7.0,flat,sector 102,1651.65,1155.0,0,0,1,0,0,relatively new,15,2,42,385.0
621,The Close North,2.7,3,3,3+,6.0,flat,sector 50,3146.0,2200.0,0,0,1,0,0,old property,144,1,42,733.3333333333334
622,BPTP Terra,1.75,4,4,3,7.0,flat,sector 37d,2574.0,1800.0,0,0,0,0,1,relatively new,98,2,42,450.0
623,ATS Tourmaline,1.4,3,3,3+,5.0,flat,sector 109,1751.75,1225.0,1,0,0,0,0,relatively new,27,1,44,408.3333333333333
624,M3M Woodshire,1.65,4,5,3+,12.0,flat,sector 107,2770.768,1937.6,0,0,1,0,0,relatively new,15,1,16,484.4
625,DLF The Icon,6.0,4,4,3+,18.0,flat,sector 53,3289.0,2300.0,0,0,1,0,0,undefined,131,2,44,575.0
626,Bestech Park View City,1.8,3,4,3,3.0,flat,sector 48,2511.08,1756.0,0,1,0,0,0,old property,64,2,66,585.3333333333334
